PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Community,254,"""PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority""",,100.100.1.1,10.0.2.15,53,53236,20938
Talos,59597,"""SERVER-OTHER WolfSSL PSK extension buffer overflow attempt""",12BBC0B,10.0.2.15,142.250.184.10,45894,443,58611
Talos,24094,"""APP-DETECT Teamviewer control server ping""",,10.0.2.15,100.100.1.1,54331,53,12537
Talos,24094,"""APP-DETECT Teamviewer control server ping""",,10.0.2.15,100.100.1.1,35847,53,37078
Talos,59597,"""SERVER-OTHER WolfSSL PSK extension buffer overflow attempt""",35EE7B6A,10.0.2.15,34.120.208.123,51610,443,50464
Talos,59597,"""SERVER-OTHER WolfSSL PSK extension buffer overflow attempt""",7D7103D6,10.0.2.15,34.117.188.166,33994,443,54285
Talos,24094,"""APP-DETECT Teamviewer control server ping""",,10.0.2.15,100.100.1.1,59661,53,35836
Talos,24094,"""APP-DETECT Teamviewer control server ping""",,10.0.2.15,100.100.1.1,35562,53,34369
Talos,24094,"""APP-DETECT Teamviewer control server ping""",,10.0.2.15,100.100.1.1,47732,53,33889
Talos,24094,"""APP-DETECT Teamviewer control server ping""",,10.0.2.15,100.100.1.1,57001,53,54118
Talos,59597,"""SERVER-OTHER WolfSSL PSK extension buffer overflow attempt""",E0001E29,10.0.2.15,142.250.184.3,42404,443,51245
Talos,24094,"""APP-DETECT Teamviewer control server ping""",,10.0.2.15,100.100.1.1,47642,53,28819
Talos,24094,"""APP-DETECT Teamviewer control server ping""",,10.0.2.15,100.100.1.1,43689,53,64454
Talos,24094,"""APP-DETECT Teamviewer control server ping""",,10.0.2.15,100.100.1.1,57227,53,34712
Talos,24094,"""APP-DETECT Teamviewer control server ping""",,10.0.2.15,100.100.1.1,38110,53,54486
Talos,59597,"""SERVER-OTHER WolfSSL PSK extension buffer overflow attempt""",9DF6CBD6,10.0.2.15,104.16.63.16,37332,443,42865
Talos,24094,"""APP-DETECT Teamviewer control server ping""",,10.0.2.15,100.100.1.1,33295,53,44621
Talos,24094,"""APP-DETECT Teamviewer control server ping""",,10.0.2.15,100.100.1.1,37049,53,47885
Talos,59597,"""SERVER-OTHER WolfSSL PSK extension buffer overflow attempt""",10B59075,10.0.2.15,142.250.184.164,59126,443,19710
Talos,24094,"""APP-DETECT Teamviewer control server ping""",,10.0.2.15,100.100.1.1,35938,53,15849
Talos,24094,"""APP-DETECT Teamviewer control server ping""",,10.0.2.15,100.100.1.1,55769,53,27291
Talos,254,"""PROTOCOL-DNS SPOOF query response with TTL of 1 min. and no authority""",,100.100.1.1,10.0.2.15,53,53236,20938
Talos,24094,"""APP-DETECT Teamviewer control server ping""",,10.0.2.15,100.100.1.1,48406,53,36395
Talos,24094,"""APP-DETECT Teamviewer control server ping""",,10.0.2.15,100.100.1.1,59442,53,62196
Talos,24094,"""APP-DETECT Teamviewer control server ping""",,10.0.2.15,100.100.1.1,33919,53,13016
Talos,24094,"""APP-DETECT Teamviewer control server ping""",,10.0.2.15,100.100.1.1,55478,53,46627
Talos,24097,"""CONTENT-REPLACE Teamviewer remote connection attempt""",501B8855,10.0.2.15,34.175.160.10,51130,5938,40694
Talos,24097,"""CONTENT-REPLACE Teamviewer remote connection attempt""",501B88B4,10.0.2.15,34.175.160.10,51130,5938,40695
Talos,24096,"""CONTENT-REPLACE Teamviewer remote connection attempt""",B580B81,34.175.160.10,10.0.2.15,5938,51130,21287
Talos,24097,"""CONTENT-REPLACE Teamviewer remote connection attempt""",501BBC7B,10.0.2.15,34.175.160.10,51130,5938,40707
Talos,24096,"""CONTENT-REPLACE Teamviewer remote connection attempt""",B581307,34.175.160.10,10.0.2.15,5938,51130,21337
Talos,24096,"""CONTENT-REPLACE Teamviewer remote connection attempt""",B581443,34.175.160.10,10.0.2.15,5938,51130,21338
Talos,24097,"""CONTENT-REPLACE Teamviewer remote connection attempt""",501C3617,10.0.2.15,34.175.160.10,51130,5938,40735
Talos,24096,"""CONTENT-REPLACE Teamviewer remote connection attempt""",B5814DF,34.175.160.10,10.0.2.15,5938,51130,21341
Talos,24097,"""CONTENT-REPLACE Teamviewer remote connection attempt""",501C36B1,10.0.2.15,34.175.160.10,51130,5938,40736
Talos,24096,"""CONTENT-REPLACE Teamviewer remote connection attempt""",B58163F,34.175.160.10,10.0.2.15,5938,51130,21353
Talos,24096,"""CONTENT-REPLACE Teamviewer remote connection attempt""",B5816FF,34.175.160.10,10.0.2.15,5938,51130,21354
Talos,24096,"""CONTENT-REPLACE Teamviewer remote connection attempt""",B5817BF,34.175.160.10,10.0.2.15,5938,51130,21355
Talos,24096,"""CONTENT-REPLACE Teamviewer remote connection attempt""",B58184A,34.175.160.10,10.0.2.15,5938,51130,21356
Talos,24097,"""CONTENT-REPLACE Teamviewer remote connection attempt""",501C38A9,10.0.2.15,34.175.160.10,51130,5938,40741
Talos,24094,"""APP-DETECT Teamviewer control server ping""",,10.0.2.15,100.100.1.1,36332,53,60228
Talos,24094,"""APP-DETECT Teamviewer control server ping""",,10.0.2.15,100.100.1.1,60660,53,54995
Talos,24094,"""APP-DETECT Teamviewer control server ping""",,10.0.2.15,100.100.1.1,57899,53,53987
Talos,24094,"""APP-DETECT Teamviewer control server ping""",,10.0.2.15,100.100.1.1,60409,53,24116
