PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Community,1411,"""PROTOCOL-SNMP public access udp""",,192.168.1.3,192.168.2.2,44681,161,44135
Community,1417,"""PROTOCOL-SNMP request udp""",,192.168.1.3,192.168.2.2,44681,161,44135
Community,1411,"""PROTOCOL-SNMP public access udp""",,192.168.1.3,192.168.2.2,44681,161,44136
Community,1417,"""PROTOCOL-SNMP request udp""",,192.168.1.3,192.168.2.2,44681,161,44136
Community,1411,"""PROTOCOL-SNMP public access udp""",,192.168.1.3,192.168.2.2,44681,161,44137
Community,1417,"""PROTOCOL-SNMP request udp""",,192.168.1.3,192.168.2.2,44681,161,44137
Community,1411,"""PROTOCOL-SNMP public access udp""",,192.168.1.3,192.168.2.2,44681,161,44138
Community,1417,"""PROTOCOL-SNMP request udp""",,192.168.1.3,192.168.2.2,44681,161,44138
Community,1411,"""PROTOCOL-SNMP public access udp""",,192.168.1.3,192.168.2.2,44681,161,44139
Community,1417,"""PROTOCOL-SNMP request udp""",,192.168.1.3,192.168.2.2,44681,161,44139
Community,1411,"""PROTOCOL-SNMP public access udp""",,192.168.1.3,192.168.2.2,44681,161,44140
Community,1417,"""PROTOCOL-SNMP request udp""",,192.168.1.3,192.168.2.2,44681,161,44140
Community,1411,"""PROTOCOL-SNMP public access udp""",,192.168.1.3,192.168.2.2,44681,161,44141
Community,1417,"""PROTOCOL-SNMP request udp""",,192.168.1.3,192.168.2.2,44681,161,44141
Community,1411,"""PROTOCOL-SNMP public access udp""",,192.168.1.3,192.168.2.2,44681,161,44142
Community,1417,"""PROTOCOL-SNMP request udp""",,192.168.1.3,192.168.2.2,44681,161,44142
Community,1411,"""PROTOCOL-SNMP public access udp""",,192.168.1.3,192.168.2.2,44681,161,44143
Community,1417,"""PROTOCOL-SNMP request udp""",,192.168.1.3,192.168.2.2,44681,161,44143
Community,1411,"""PROTOCOL-SNMP public access udp""",,192.168.1.3,192.168.2.2,44681,161,44144
Community,1417,"""PROTOCOL-SNMP request udp""",,192.168.1.3,192.168.2.2,44681,161,44144
Community,1411,"""PROTOCOL-SNMP public access udp""",,192.168.1.3,192.168.2.2,44681,161,44145
Community,1417,"""PROTOCOL-SNMP request udp""",,192.168.1.3,192.168.2.2,44681,161,44145
Community,1411,"""PROTOCOL-SNMP public access udp""",,192.168.1.3,192.168.2.2,44681,161,44146
Community,1417,"""PROTOCOL-SNMP request udp""",,192.168.1.3,192.168.2.2,44681,161,44146
Community,1411,"""PROTOCOL-SNMP public access udp""",,192.168.1.3,192.168.2.2,44681,161,44147
Community,1417,"""PROTOCOL-SNMP request udp""",,192.168.1.3,192.168.2.2,44681,161,44147
Community,1411,"""PROTOCOL-SNMP public access udp""",,192.168.1.3,192.168.2.2,44681,161,44148
Community,1417,"""PROTOCOL-SNMP request udp""",,192.168.1.3,192.168.2.2,44681,161,44148
Community,1411,"""PROTOCOL-SNMP public access udp""",,192.168.1.3,192.168.2.2,44681,161,44149
Community,1417,"""PROTOCOL-SNMP request udp""",,192.168.1.3,192.168.2.2,44681,161,44149
Community,1411,"""PROTOCOL-SNMP public access udp""",,192.168.1.3,192.168.2.2,44681,161,44150
Community,1417,"""PROTOCOL-SNMP request udp""",,192.168.1.3,192.168.2.2,44681,161,44150
Community,1411,"""PROTOCOL-SNMP public access udp""",,192.168.1.3,192.168.2.2,44681,161,44151
Community,1417,"""PROTOCOL-SNMP request udp""",,192.168.1.3,192.168.2.2,44681,161,44151
